,Post,IdFatherComment,Date,Caption,likesComment,Username,IdChildComment
125,125,17865805429874863,1593243249,@harrysandersseo haha those feels,0,bigstang,
126,126,17868296869852941,1593211795,@nath_frank_mack,1,ash.pat.88,
127,127,17856354098027460,1593112444,👏👏👏,0,majorantzsolt,
128,128,17844276128218627,1592807459,@xochibabyx3,1,zoom_m3p,
129,129,18105352162182922,1592802848,@lococodamato 😂,0,julia.oravitz,
130,130,17877903169717378,1592802837,@jcoravitz,0,julia.oravitz,
131,131,17892334054547884,1592443588,💕💕😅,0,just_so_you_kmow_umm,
132,132,17882505616616719,1592257182,@free6630,0,alifalah.am,
133,133,17900777425478046,1592169198,@reneedepaulaa,0,filiprocksen,
134,134,17894807206514757,1592169154,@svenpunktcom,0,filiprocksen,
135,135,18107948302086832,1592133265,@abigailmo123love,0,slyzerxlive,
136,136,18146990524033295,1592077584,@la.mikiii,1,holyt0ria,
137,137,17887997413569123,1591917281,forehead,0,_zrobenz,
138,138,17848561001127835,1591285124,@allmumstalk 😅,0,alldadstalk,
139,139,17879384512643256,1591278166,tesla🇮🇳🇮🇳 who wants hit like🙂,2,sanjog_chhabra,
140,140,17929044484376935,1590686903,@lowkeysavvvvv,1,chewy__huang,
141,141,17874055888724168,1590644500,@alaxwoody us today 😂,0,lshookz,
142,142,17996528947295039,1590564213,Those induction motors have a lot of torque,0,jimmyjamoco,
143,143,17876448451668142,1590492277,pharaka kiwa,0,purple_xenie,
144,144,17995846702292842,1590424644,@lupita_briganti @missvera.ig @notcolin938,2,paulthepilot3,
145,145,18147782965022171,1590092883,@footballbaztv,1,icy_hennessey,
146,146,17857955422907110,1589951295,What is he doing to her?,1,infinitegodtv,
147,147,17846232218121164,1589804606,@mrs_kat_pearce remember doing this?,1,petertriminator,
148,148,17883186244572312,1589284576,@andrewgoot I think he hates me for it tbh,0,marwanvibes,
149,149,17882815879586144,1589085290,Thanks to all the engineers working behind @teslamotors.,0,parth_xv,
150,150,18103456732084135,1588751133,😂,0,sheyda_star,
151,151,17914180435412073,1588725971,@alishap15,1,the.only.patel,
152,152,17856205255920715,1588722587,@teslamotors,0,the_freem_team,
153,153,18099254206156780,1588722574,Awwww... That looks like me and wifey type of love lol follow the Team for AUTHENTIC Videos 🧡🙌🏼,0,the_freem_team,
154,154,17844455645126192,1588429297,Pure ecstacy! He just sealed the date.🔥🔥🔥,0,investment_711,
155,155,17844187616135601,1588359093,I can't wait to get one,1,thejasminedavis,
156,156,17872327276682001,1588261877,Instant take off🚀✨,0,i.a.m_jordan,
157,157,17890043383516935,1587312896,Im done. 🔥 so is she,0,nkryptdlife,
158,158,17879875696572588,1586983573,Crazy fast acceleration cannot get old.,1,millenniumriver,
159,159,17861913067781880,1586633108,Is it me or he looks like Aldrich killian,1,sahilsalright,
160,160,17909512864427219,1586212478,@a_abdulmutaleb @ashraf687,2,ali_bokhamseen,
161,161,17966584564307469,1586016242,@sofivallejo,0,cmadrazom,
162,162,17850640459951211,1585932265,"@karen.a.va see, you’re supposed to laugh 😉😘❤️",1,moregonevans,
163,163,17963749090305667,1583780262,@schmittastic 😂,1,thevincenzolandino,
164,164,18054703708213240,1583551116,This was you today 😂😂 @amanda_bezak,2,jessicabezak,
165,165,17885014990501143,1583440776,@veronikahfx,0,coderreg,
166,166,18054655126208301,1583440650,@wisko5 😂,0,benko66992,
167,167,18095670568184983,1582782947,@chrischaidez123 youuuu.,0,_sayravanessa,
168,168,18130106176014570,1582221466,Top,0,conectsteel,
169,169,17846814154932999,1581491643,Hahaha!! Love it!,0,elyod3,
170,170,17854451713787386,1581242309,@adrii._.01,2,yoskayt,
171,171,17874493102529588,1580666903,@_mchelle.v,1,mn.sang,
172,172,18129953755045448,1580516387,@tracy.yager,1,zoe.yager,
173,173,17909463805395853,1580079676,This is us. 😂 @drewskee808,1,kaimanalii,
174,174,17850967603840101,1579877336,@kristinmathisen 😁,0,tnymoen,
175,175,17848394110878896,1579835943,@christinehiidalgo,1,jvh13m,
176,176,17948495065311490,1579829571,That’s too cute❤️,0,j_o_e_y_s_,
177,177,17861640493651730,1579555548,What speed made her top come undone?,5,jay.liptak,
178,178,17862410113639238,1579304861,@scottbrackenn,0,andrew_rios_,
179,179,17941394167324891,1579057796,My wife has the same reaction.. 🤣😂😆🍌🌋,4,halfbakedpinoy,
180,180,17936776861331620,1578864477,@polo.dlm,1,ffernando7777,
181,181,18116822974069081,1578864455,@bigdaddyvictoria,1,ffernando7777,
182,182,17861489488634240,1578751856,@samsammysambo,1,tweej101,
183,183,17854261339739504,1578560851,@marcelvanoasla,1,zelmagutierrezgonzales,
184,184,17865420745600584,1577919137,@dskang89,0,hoonyshinn,
185,185,18044958472222576,1577761147,@jwadope,0,sabashojai111,
186,186,18069190855169071,1576772746,@jamesshim87,0,tarims,
187,187,17848306807768526,1576633543,👌👌,0,benjaminrl_,
188,188,17854561390717114,1576273377,@jamferco,0,felipemorales90,
189,189,17843982784855150,1576185959,@kristinev.gallegos 😘😘😘,0,ricardocross,
190,190,17880341272479392,1576061578,@jessswan 😂,1,mechani.cal,
191,191,18033476227227266,1575927867,@funasaki.teron @cobilee25,2,albertlee_,
192,192,17853280360694747,1575602078,👌🏽👈🏽 🔝,0,jhosted,
193,193,18013939351259972,1575496077,@marielita_aam cuando sientes la velocidad en tu pancita jajaja,0,juan_tep_58,
194,194,18089633245122093,1575456739,Ahahah that queer screams trust fund baby in his gay salmon v,5,danoleye,
195,195,17921403031357366,1575262417,@mo.ali.tahery,0,taheri.hasan71,
196,196,17919767599361818,1575015025,@martim.m em pasa aixo amb tu y e bmw tiooo jajajaj,1,valeriasancha,
197,197,17906348413389256,1574969866,"This car isn't scary!! Throw this women in a Lamborghini and ler her listen to the beautiful v12 singing or inside a Demon so she can hear the roar of a V8 mixed with the whine of a powerful supercharger and if you want to go crazier throw her inside a 1000hp supra and let her enjoy the ""sstustustutututu"".",10,_grferreira,
198,198,18076919233157177,1574908176,Nice @garrettleight Kinneys!,0,revcates,
199,199,18032439976239380,1574825321,"2029 : mom, why did people in 2019 often shocked by this normal acceleration?",4,ottobismar1,
200,200,17863721992575090,1574821934,Gay af,2,bavinport,
